p,Scenario,Method,Mean,SD
500,Scenario 1,RF,34.1,6.920260110718383
500,Scenario 1,ET,40.9,6.847627326307999
500,Scenario 1,RLT-naive,38.9,4.346262762420145
500,Scenario 1,"RLT (None, k=1)",37.8,5.929586832149436
500,Scenario 1,"RLT (None, k=2)",40.1,4.784349485562274
500,Scenario 1,"RLT (None, k=5)",37.2,8.506468127254694
500,Scenario 1,"RLT (Moderate, k=1)",39.3,5.158488150611572
500,Scenario 1,"RLT (Moderate, k=2)",32.1,6.122907805936655
500,Scenario 1,"RLT (Moderate, k=5)",39.0,6.0827625302982185
500,Scenario 1,"RLT (Aggressive, k=1)",34.0,6.648308055437863
500,Scenario 1,"RLT (Aggressive, k=2)",31.0,6.099180272790763
500,Scenario 1,"RLT (Aggressive, k=5)",36.4,5.535341001239219
500,Scenario 2,RF,12.273535465586486,2.7727101499181948
500,Scenario 2,ET,13.136358632075366,2.8820879375338597
500,Scenario 2,RLT-naive,12.066407700154098,2.046500145296211
500,Scenario 2,"RLT (None, k=1)",11.591839433021352,2.4413161962944057
500,Scenario 2,"RLT (None, k=2)",12.349016107313975,3.3722123673142446
500,Scenario 2,"RLT (None, k=5)",11.046612304549182,2.4336250549568126
500,Scenario 2,"RLT (Moderate, k=1)",11.443725893150988,1.7237742917012298
500,Scenario 2,"RLT (Moderate, k=2)",12.052899554951043,2.421010606996571
500,Scenario 2,"RLT (Moderate, k=5)",11.98254742015418,2.6675264669824625
500,Scenario 2,"RLT (Aggressive, k=1)",9.790554378941795,2.2234755554016954
500,Scenario 2,"RLT (Aggressive, k=2)",11.386400455841429,3.578445742848048
500,Scenario 2,"RLT (Aggressive, k=5)",12.072246765444785,1.805197414675481
500,Scenario 3,RF,9.116066319527201,0.8871432517407728
500,Scenario 3,ET,8.638671755353258,1.0932921200032844
500,Scenario 3,RLT-naive,9.335852780982908,0.8698457326060326
500,Scenario 3,"RLT (None, k=1)",9.161010613588648,0.6151935542410847
500,Scenario 3,"RLT (None, k=2)",8.632562535153957,1.0065704276837435
500,Scenario 3,"RLT (None, k=5)",9.582317650627614,0.6821239499991041
500,Scenario 3,"RLT (Moderate, k=1)",8.779084007936856,0.590073837878089
500,Scenario 3,"RLT (Moderate, k=2)",9.041786181638397,0.8533641056128167
500,Scenario 3,"RLT (Moderate, k=5)",8.911693353288795,1.1398969619639998
500,Scenario 3,"RLT (Aggressive, k=1)",9.195322183009662,0.7342837594929301
500,Scenario 3,"RLT (Aggressive, k=2)",9.095821153323019,0.9602304022820414
500,Scenario 3,"RLT (Aggressive, k=5)",9.693890189071755,0.7472063914039542
500,Scenario 4,RF,24.718817380728765,1.5283181993861523
500,Scenario 4,ET,23.830508205195354,1.680071452620603
500,Scenario 4,RLT-naive,13.993682084684258,2.0120191000806105
500,Scenario 4,"RLT (None, k=1)",14.12014191343261,2.439613899087954
500,Scenario 4,"RLT (None, k=2)",14.782476359205072,3.215196272907591
500,Scenario 4,"RLT (None, k=5)",14.23754335555316,1.6003724213687274
500,Scenario 4,"RLT (Moderate, k=1)",16.62434253418943,3.645441166004092
500,Scenario 4,"RLT (Moderate, k=2)",12.724155379273625,1.725194867836515
500,Scenario 4,"RLT (Moderate, k=5)",14.62893768263701,2.559401160524138
500,Scenario 4,"RLT (Aggressive, k=1)",14.226698779958198,2.2287076416931284
500,Scenario 4,"RLT (Aggressive, k=2)",14.867042894034672,2.085941253075891
500,Scenario 4,"RLT (Aggressive, k=5)",12.840808468082633,2.1023334779852507
